id,issues,label
1,"I was passed over for a promotion despite my qualifications and experience, and a less experienced male colleague was selected.",1
2,"During team meetings, my ideas are often dismissed, but when a male colleague suggests the same, it is praised and implemented.",1
3,I've noticed a significant pay gap between male and female colleagues with similar roles and responsibilities.,1
4,"Male colleagues are consistently given more challenging and high-profile projects, limiting my opportunities for career growth.",1
5,I overheard inappropriate and sexist comments directed towards me or other female colleagues in the workplace.,1
6,"Despite my consistent high performance, I am given fewer opportunities for skill development compared to my male counterparts.",1
7,I have been excluded from important meetings and decision-making processes solely based on my gender.,1
8,There is a noticeable lack of representation of women in leadership roles within the company.,1
9,"I've been subjected to microaggressions and sexist jokes from colleagues, creating an uncomfortable work environment.",1
10,"Male colleagues are receiving more flexibility in their work hours, while my requests for a similar arrangement have been denied.",1
11,"I've noticed a pattern of male employees being praised for assertiveness, while female colleagues exhibiting the same traits are labeled as aggressive.",1
12,I've been assigned administrative or less strategic tasks based on assumptions related to my gender.,1
13,I've experienced disparities in training and development opportunities compared to my male counterparts.,1
14,"There is a lack of family-friendly policies, making it challenging for women to balance work and caregiving responsibilities.",1
15,"I've observed instances where male employees are given credit for collaborative work that I, as a female colleague, also contributed to.",1
16,"I've faced interruptions and dismissive behavior in meetings when expressing my opinions, which my male colleagues do not experience.",1
17,"I've been told that certain roles or projects are not suitable for women, limiting my career choices.",1
18,There are instances of double standards in enforcing dress codes or appearance expectations based on gender.,1
19,I've been excluded from networking opportunities that could have enhanced my professional growth.,1
20,"I've experienced instances where male colleagues receive more constructive feedback, while my feedback is often vague or biased.",1
21,"The office temperature is consistently too cold, making it uncomfortable to work.",1
22,The lack of proper lighting in our workspace is affecting our productivity and causing eye strain.,1
23,"There is a persistent noise issue in the office, making it challenging to concentrate on tasks.",1
24,"The office furniture is outdated and uncomfortable, leading to discomfort and potential health issues.",1
25,"There are frequent technical issues with the computer systems, causing delays in work completion.",1
26,"The air quality in the office is poor, and employees are experiencing respiratory discomfort.",1
27,"The office layout is not conducive to collaboration, hindering teamwork and communication.",1
28,"The office lacks designated quiet spaces for focused work, impacting concentration levels.",1
29,"There is a shortage of meeting rooms, leading to scheduling conflicts and difficulties in conducting private discussions.",1
30,"The cleanliness and maintenance of common areas, such as the kitchen and restroom, need improvement.",1
31,"The office lacks sufficient break areas, making it challenging for employees to take short breaks and recharge.",1
32,The absence of ergonomic office equipment is causing discomfort and potential health issues among employees.,1
33,"The Wi-Fi connection in the office is unreliable, impacting the efficiency of remote work and virtual meetings.",1
34,The absence of greenery or plants in the office contributes to a dull and uninspiring work environment.,1
35,"The office lacks diversity and inclusion initiatives, leading to an environment that may not be welcoming to all employees.",1
36,"There is a lack of team-building activities, affecting team morale and collaboration.",1
37,"The office is inadequately soundproofed, leading to disturbances from neighboring workspaces.",1
38,The absence of flexible work arrangements is limiting employees' ability to achieve work-life balance.,1
39,"The office lighting is too bright and harsh, causing discomfort and headaches among employees.",1
40,The absence of proper training programs for new employees is affecting their onboarding experience.,1
41,The workload has highlighted the need for additional resources to maintain high-quality output.,1
42,"The increased workload has led to burnout among team members, impacting morale.",1
43,The constant pressure to meet tight deadlines has resulted in increased stress levels.,1
44,"The workload is disproportionately distributed, causing some team members to feel overwhelmed.",1
45,The lack of clear communication regarding project expectations has added to the workload stress.,1
46,The continuous influx of urgent tasks has hindered the team's ability to focus on long-term goals.,1
47,The absence of a proper workload management system has led to inefficiencies and delays.,1
48,The team is grappling with the increased workload due to the recent departures and staff shortages.,1
49,"While the workload is significant, there is a lack of recognition or acknowledgment from management.",1
50,"The workload has created a sense of urgency, leading to rushed decision-making and errors.",1
51,The lack of proper project management tools has contributed to confusion and added to the workload.,1
52,The workload has resulted in a decline in work-life balance for many team members.,1
53,The absence of proper delegation structures has caused duplicated efforts and increased the workload.,1
54,"The team is struggling to cope with the workload, and productivity is declining as a result.",1
55,The increased workload has hindered the team's ability to provide adequate training for new members.,1
56,The constant pressure to deliver results is affecting the quality of work produced by the team.,1
57,The lack of a clear roadmap for workload prioritization is causing stress and frustration.,1
58,The heavy workload is affecting the team's overall job satisfaction and motivation.,1
59,The team is facing challenges in maintaining a healthy work-life balance due to the high workload.,1
60,The absence of regular check-ins and feedback sessions has exacerbated the workload issue.,1
61,The increased workload has led to strained relationships among team members.,1
62,The lack of resources and support for the increased workload is demoralizing for the team.,1
63,The intense workload has resulted in a higher number of errors and decreased overall quality.,1
64,"The team is grappling with the workload, and there is a noticeable increase in stress-related health issues.",1
65,The lack of flexibility in managing the workload has created tension within the team.,1
66,The absence of a proactive approach to workload management is affecting team morale.,1
67,The high workload has led to a decrease in creativity and innovation within the team.,1
68,The lack of acknowledgment for the team's efforts in managing the workload is disheartening.,1
69,The persistent high workload has led to increased absenteeism and burnout among team members.,1
70,"Despite repeated concerns raised, there's been no visible effort from management to alleviate the overwhelming workload.",1
71,The continuous pressure to meet demanding deadlines has resulted in a noticeable decline in team morale.,1
72,The lack of a clear strategy to address the workload issue is causing frustration among team members.,1
73,The unmanageable workload has led to a noticeable increase in employee turnover and dissatisfaction.,1
74,"Team members are consistently working beyond regular hours, impacting work-life balance and job satisfaction.",1
75,The absence of proactive measures to address the workload has resulted in a negative impact on team efficiency.,1
76,The increased workload has created an environment where employees feel undervalued and overworked.,1
77,The lack of a well-defined workload management system is negatively affecting team productivity and collaboration.,1
78,"Despite reassurances, there has been no tangible effort to provide additional resources to manage the escalating workload.",1
79,"The overwhelming workload has caused a decline in the quality of work produced, affecting our reputation with clients.",1
80,The absence of a clear resolution plan for the workload issue has led to a sense of uncertainty and job insecurity.,1
81,Team members are facing constant stress and anxiety due to unrealistic expectations and workload pressure.,1
82,"The high workload has led to a breakdown in communication, hindering effective collaboration within the team.",1
83,The lack of acknowledgment for the toll the workload is taking on employees is contributing to dissatisfaction.,1
84,"Despite the persistent workload issues, there's a perceived lack of empathy and understanding from management.",1
85,"The unmanageable workload is causing team members to disengage, impacting overall team dynamics.",1
86,The absence of regular breaks and downtime is negatively impacting the physical and mental well-being of team members.,1
87,"The workload has created a sense of competition among team members, fostering an unhealthy work environment.",1
88,The lack of a clear plan to address the workload has resulted in a sense of hopelessness among team members.,1
89,The overwhelming workload is causing talented team members to look for opportunities elsewhere.,1
90,"Despite the workload concerns being raised, there's a lack of transparent communication from management on any action plans.",1
91,"The unrelenting workload has led to an increase in errors, jeopardizing the quality of our deliverables.",1
92,The absence of a supportive work environment during high workload periods is causing increased stress levels.,1
93,"Despite the workload challenges, there's been no effort to provide training or support for employees to cope effectively.",1
94,The lack of recognition for the toll the workload is taking on mental health is contributing to dissatisfaction.,1
95,The persistent workload pressure has created an environment where employees feel powerless to voice their concerns.,1
96,The unrealistic workload expectations are causing strained relationships among team members.,1
97,"Despite the persistent workload issues, there's a lack of transparency in the decision-making process for resource allocation.",1
98,The unmanageable workload has led to a decline in employee engagement and job satisfaction.,1
99,The constant pressure to meet unrealistic targets has resulted in a decline in the overall quality of our work.,1
100,The absence of a clear roadmap to address the workload has led to feelings of resentment and frustration among team members.,1
101,"Despite multiple attempts, my queries about changes in project priorities have gone unanswered, causing confusion.",1
102,There's been a lack of acknowledgment or feedback from management regarding concerns raised about team morale.,1
103,"Requests for clarification on organizational changes have been met with silence, leading to uncertainty among employees.",1
104,The absence of communication about the resolution of reported workplace conflicts is causing distress among team members.,1
105,Efforts to bring attention to the need for mental health support programs have been met with silence from the management team.,1
106,"Despite expressing concerns about micromanagement, there has been no response from management to address the issue.",1
107,"Requests for information about the company's future direction and goals have gone unanswered, causing uncertainty among employees.",1
108,"Despite raising concerns, there's been no response from management regarding the implementation of flexible work arrangements.",1
109,The lack of communication from management about ongoing projects is creating uncertainty and anxiety among the team.,1
110,Efforts to seek guidance on career growth opportunities within the company have been met with silence.,1
111,"Despite expressing concerns about the negative impact of a lack of team-building activities, there has been no response from management.",1
